id	name	website	start_date	end_date
183697	ERP	http://www.salons-solutions.com/	2020-09-22	2020-09-24
21803	E-Achats	http://www.salons-solutions.com/	2020-09-22	2020-09-24
21799	Les Salons Solutions	http://www.salons-solutions.com/	2020-09-22	2020-09-24
18052	Serveurs & Applications	http://www.salons-solutions.com/	2020-09-22	2020-09-24
303324	Critical Thinking	http://www.amanet.org/training/seminars/critical-thinking.aspx	2019-12-18	2019-12-19
282028	Windsor 50 Plus Show	http://www.windsor50plusshow.com/	2020-03-14	2020-03-15
304296	Heritage Markets Cash & Carry Wholesale Shows	http://www.heritagemarkets.com/cgi-bin/shop/upcoming-shows.html	2020-01-23	2020-01-23
390063	International Conference on Geological and Environmental Sustainability	https://www.researchfora.net/event/index.php?id=1124288	2020-02-08	2020-02-08
390060	World Congress on Advanced Pharmacy and Clinical Research	https://www.researchfora.net/event/index.php?id=1124286	2020-02-08	2020-02-08
390059	International Conference on Nursing Practice & Research	https://www.researchfora.net/event/index.php?id=1124289	2020-02-08	2020-02-08
302078	Human Resources for Anyone with Newly Assigned HR Responsibilities	https://www.pryor.com/training-seminars/human-resources-newly-assigned-hr-responsibilities/?zip=10017&loc=CA&submit=Submit	2020-01-17	2020-01-17
379913	"International Conference on Science, Engineering & Technology"	http://researchfora.com/Conference2020/SouthKorea/2/ICSET/	2020-01-04	2020-01-05
171429	Construction Industry Conference	https://www.ficpa.org/Content/CPE/Events/Conferences.aspx	2019-10-18	2019-10-18
120712	Survival Skills for Today's Gynaecologist Spring	https://www.worldclasscme.com/conferences/survival-skills-todays-gynecologist6/	2020-04-14	2020-04-17
203731	Home Garden Idea Fair	https://www.clarkpublicutilities.com/event/home-garden-idea-fair/	2020-04-24	2020-04-26
67929	BC Interior RV Show	http://www.bcinteriorrvshow.ca/	2020-04-03	2020-04-05
16402	International Comic Fair of Barcelona	https://www.comic-barcelona.com/cat/inici.cfm	2020-05-08	2020-05-10
65278	Google Analytics & Ads Training in Boston	https://training.bounteous.com/training/boston/?ns=l#jan	2020-01-13	2020-01-17
425339	"Virtual Power Plants, New Energy Storage and Renewable Energy Innovations Global Summit"	http://claridenglobal.com/conference/vpp-energystorage-au/	2019-11-14	2019-11-15
5165	International Exhibition for Plastics Industry	http://plastworld.kz/	2019-11-20	2019-11-22
375494	India Wind Energy Forum	https://events.firstviewgroup.com/IndiaWindEnergyForum2019	2019-11-14	2019-11-15
349409	NABT Professional Development Conference	https://nabt.org/Events-2019-Conference	2019-11-14	2019-11-17
411063	Medical Cannabis Conference & Expo	https://cannabisexpomalta.com/	2020-01-13	2020-01-14
16000	Vietnam International Jewelry Fair	http://www.vietnamjewelryfair.com/en/	2019-11-14	2019-11-18
145850	The Tech Show - Singapore	https://thetechshow.com.sg/	2019-11-14	2019-11-17
327882	"Strategic Congress on Oil, LPG, LNG and Petroleum Shipping, Refining, and Trading"	https://oilterminal.org/en/	2019-11-14	2019-11-15
174679	Nordic IT Security	https://www.nordicitsecurity.com/	2019-11-14	2019-11-14
421774	World EV Show - Delhi	https://worldevshow.com/	2019-11-14	2019-11-15
409088	Digital Freedom Festival	https://www.digitalfreedomfestival.com/	2019-11-14	2019-11-15
191569	Genetic Toxicology Association Meeting	http://www.gta-us.org/	2020-05-06	2020-05-08
364908	Small and Emerging Managers Conference	https://semconference.gcmlp.com/home/	2019-11-14	2019-11-15
69350	Hac Convention & Trade Show	http://www.h-a-c.ca/convention.html	2019-11-14	2019-11-16
8979	Mactech Expo	http://www.mactech.com.eg/	2019-11-13	2019-11-16
283041	Future Technologies Conference (FTC)	http://saiconference.com/FTC	2019-10-24	2019-10-25
358654	Dentists Lifestyle Conference and Exhibition	https://www.dlsbahrain.com/	2019-11-14	2019-11-16
8980	Airtech Expo	http://www.airtech-eg.com/	2019-11-13	2019-11-16
32831	International Conference BALTTRIB	http://www.balttrib.info/index.htm	2019-11-14	2019-11-16
359019	International Metal Technology Taiwan	https://www.imttaiwan.com/	2019-11-07	2019-11-10
232165	"Exhibition for machine tools, industrial tools, welding and cutting equipment"	http://www.mactech.com.eg/	2019-11-13	2019-11-16
377843	Cyber Security Summit	https://1point21gws.com/cybersecurity/auckland/	2019-11-15	2019-11-15
409762	American Mathematical Association of Two Year Colleges Conference	https://amatyc.site-ym.com/events/EventDetails.aspx?id=1238585	2019-11-14	2019-11-17
417318	Reanimate Conference	https://reanimateconference.com/	2020-04-29	2020-04-30
124110	Global Liner Shipping Conference	https://maritime.knect365.com/global-liner-shipping/	2020-05-11	2020-05-13
307185	Innovative Research in Engineering and Information Technology International Conference	https://ireitic.weebly.com/	2020-01-03	2020-01-05
50416	Houston Boat Show	https://houstonboatshows.com/	2020-01-03	2020-01-12
346212	Districts Youth Conference	https://www.districtsyc.com/	2020-01-03	2020-01-05
23426	Living Kitchen	http://www.livingkitchen-cologne.com/LivingKitchen/index-4.php	2021-01-18	2021-01-24
6847	Original Sewing & Quilt Expo-Cleveland	http://www.sewingexpo.com/Events.aspx	2020-04-02	2020-04-04
318316	Consumer Assembly	https://consumerfed.org/cfa_events/consumer-assembly/	2020-05-07	2020-05-08
256026	Pittsburgh Tekko Japanese Pop Culture Convention	http://www.teamtekko.us/	2020-04-02	2020-04-05
357396	IOT Tech Expo	https://www.iottechexpo.com/europe/	2020-07-01	2020-07-02
357348	Blockchain Expo	https://blockchain-expo.com/europe/	2020-07-01	2020-07-02
401024	CCB TechShowcase	https://ccbtechnology.com/techshowcase/	2020-05-13	2020-05-13
228387	Riverwalk Fine Art Fair	http://www.napervilleartleague.com/riverwalk-fine-art-fair.html	2020-09-20	2020-09-21
247343	International Conference on Software and Information Engineering	http://www.istdst.org/EVENT	2019-12-08	2019-12-09
247338	International Conference on Mechanical and Mechatronics Engineering	http://www.istdst.org/EVENT	2019-12-08	2019-12-09
241475	Octagon Art Festival	https://octagonarts.org/events/octagon-art-festival/	2020-09-27	2020-09-27
446282	International Conference on Material Science and Nanotechnology	https://irisscientificgroup.com/conferences/material-science-and-nanotechnology/	2020-04-13	2020-04-15
446283	Chesapeake Dental Conference	http://www.msda.com/register-cdc.php	2020-09-17	2020-09-19
446287	"Technology, Engineering & Security Clearance Career Fair"	https://www.targetedjobfairs.com/december-12th-orlando-fl-technology-engineering-security-clearance-career-fair/	2019-12-12	2019-12-12
380884	"TASS International Conference on Advancement in Economics Management Studies, Humanities and Social Science"	https://academy-ss.com/upcoming-conferences/aemhs-aug-2020-conference/	2020-08-12	2020-08-13
241631	Arts In The Heart Festival	https://artsintheheartofaugusta.com/	2020-09-18	2020-09-20
366624	"IRNEST International Conference on Engineering, Applied Sciences, Information Technology & Aerospace Engineering"	https://irnest.org/iceaia-aug-2020/	2020-08-29	2020-08-30
446289	Yogafest Dubai	https://richyevents.com	2019-10-09	2019-10-10
361253	"WEASC International Conference on Engineering Technology, Design, Energy & Applied Sciences"	https://world-easc.com/edea-aug-2020/	2020-08-22	2020-08-23
440018	Doula/Birth Coach DONA Certified Training	http://Uniquenaturalbirthing.com	2019-11-08	2019-11-10
361251	"WEASC International Conference on Aviation Technology, Applied Sciences, Robotics, System Engineering & Bioinformatics"	https://world-easc.com/aarsb-aug-2020/	2020-08-15	2020-08-16
364111	"International Conference on Information Technology, Engineering and Design, Agriculture, Applied Sciences"	https://ate-network.com/iedaa-august-2020/	2020-08-13	2020-08-14
446295	"International Conference on Wound Care, Nursing and Tissue Science"	http://woundcarecongress.alliedacademies.com/	2020-03-23	2020-03-24
364110	"International Conference on Image Processing, New Technology in Engineering and Applied Sciences Research"	https://ate-network.com/inear-aug-2020-phuket/	2020-08-06	2020-08-07
247382	"International Conference on Ocean, Offshore and Arctic Engineering"	http://www.istdst.org/EVENT	2019-12-08	2019-12-09
